ETC1,DATE,MACHINE,OPERATINID,ETC2,ETC3,STEPDESC,RECIPE,LOT ID,WAFERID,Slot ID,PARAMETER,MAX_DATA_ID,DATA1,DATA2,DATA3,DATA4,DATA5,DATA6,DATA7,DATA8,DATA9,DATA10,DATA11,DATA12,DATA13
XX,2026-04-24 09:00,MTMF02,A30200,AAA,B,BG HM SION DEP THK PRE,RK2A_ERTEST_13PT,ERT001,ERT001.03,3,GOF,13,0.9933,0.9944,0.9899,0.9823,0.9904,0.9823,0.9849,0.9826,0.9934,0.9853,0.9940,0.9805,0.9816
XX,2026-04-24 09:00,MTMF02,A30200,AAA,B,BG HM SION DEP THK PRE,RK2A_ERTEST_13PT,ERT001,ERT001.03,3,T1,13,1062.7,1021.7,1022.4,1022.2,1015.6,1018.9,1019.0,972.1,976.7,968.8,981.6,979.1,975.2
XX,2026-04-24 09:00,MTMF02,A30200,AAA,B,BG HM SION DEP THK PRE,RK2A_ERTEST_13PT,ERT001,ERT001.03,3,T2,13,521.2,508.2,511.9,507.7,506.0,509.4,509.4,484.4,482.1,482.9,482.8,487.5,483.8
XX,2026-04-24 09:00,MTMF02,A30200,AAA,B,BG HM SION DEP THK PRE,RK2A_ERTEST_13PT,ERT001,ERT001.03,3,X,13,0.000,50.000,25.000,-25.000,-50.000,-25.000,25.000,103.923,0.000,-103.923,-103.923,0.000,103.923
XX,2026-04-24 09:00,MTMF02,A30200,AAA,B,BG HM SION DEP THK PRE,RK2A_ERTEST_13PT,ERT001,ERT001.03,3,Y,13,0.000,0.000,43.301,43.301,0.000,-43.301,-43.301,60.000,120.000,60.000,-60.000,-120.000,-60.000
XX,2026-04-24 09:00,MTMF02,A30200,AAA,B,BG HM SION DEP THK PRE,RK2A_ERTEST_13PT,ERT001,ERT001.04,4,GOF,13,0.9844,0.9932,0.9898,0.9950,0.9947,0.9821,0.9831,0.9836,0.9840,0.9907,0.9803,0.9819,0.9853
XX,2026-04-24 09:00,MTMF02,A30200,AAA,B,BG HM SION DEP THK PRE,RK2A_ERTEST_13PT,ERT001,ERT001.04,4,T1,13,1057.5,1027.2,1035.1,1031.1,1034.8,1035.0,1031.1,987.1,991.5,987.7,983.2,981.9,980.9
XX,2026-04-24 09:00,MTMF02,A30200,AAA,B,BG HM SION DEP THK PRE,RK2A_ERTEST_13PT,ERT001,ERT001.04,4,T2,13,531.2,508.8,513.0,511.6,514.1,511.7,512.8,488.1,485.3,487.9,490.7,490.8,485.2
XX,2026-04-24 09:00,MTMF02,A30200,AAA,B,BG HM SION DEP THK PRE,RK2A_ERTEST_13PT,ERT001,ERT001.04,4,X,13,0.000,50.000,25.000,-25.000,-50.000,-25.000,25.000,103.923,0.000,-103.923,-103.923,0.000,103.923
XX,2026-04-24 09:00,MTMF02,A30200,AAA,B,BG HM SION DEP THK PRE,RK2A_ERTEST_13PT,ERT001,ERT001.04,4,Y,13,0.000,0.000,43.301,43.301,0.000,-43.301,-43.301,60.000,120.000,60.000,-60.000,-120.000,-60.000
